Order ID,VersionHistory_F5F8918F-0A3F-4DA9-AE71-184EE5012880,Employee ID,Customer ID,Order Date,Shipped Date,Shipper ID,Ship Name,Ship Address,Ship City,Ship State/Province,Ship ZIP/Postal Code,Ship Country/Region,Shipping Fee,Taxes,Payment Type,Paid Date,Notes,Tax Rate,Tax Status,Status ID
40,11,4,10,"03/24/06 00:00:00","03/24/06 00:00:00",2,"Roland Wacker","123 10th Street","Chicago","IL","99999","USA",9.0000,0.0000,"Credit Card","03/24/06 00:00:00",,0,,3
41,12,1,7,"03/24/06 00:00:00",,,"Ming-Yang Xie","123 7th Street","Boise","ID","99999","USA",0.0000,0.0000,,,,0,,0
42,13,1,10,"03/24/06 00:00:00","04/07/06 00:00:00",1,"Roland Wacker","123 10th Street","Chicago","IL","99999","USA",0.0000,0.0000,,,,0,,2
43,14,1,11,"03/24/06 00:00:00",,3,"Peter Krschne","123 11th Street","Miami","FL","99999","USA",0.0000,0.0000,,,,0,,0
44,15,1,1,"03/24/06 00:00:00",,,"Anna Bedecs","123 1st Street","Seattle","WA","99999","USA",0.0000,0.0000,,,,0,,0
45,16,1,28,"04/07/06 00:00:00","04/07/06 00:00:00",3,"Amritansh Raghav","789 28th Street","Memphis","TN","99999","USA",40.0000,0.0000,"Credit Card","04/07/06 00:00:00",,0,,3
46,17,7,9,"04/05/06 00:00:00","04/05/06 00:00:00",1,"Sven Mortensen","123 9th Street","Salt Lake City","UT","99999","USA",100.0000,0.0000,"Check","04/05/06 00:00:00",,0,,3
47,18,6,6,"04/08/06 00:00:00","04/08/06 00:00:00",2,"Francisco Pérez-Olaeta","123 6th Street","Milwaukee","WI","99999","USA",300.0000,0.0000,"Credit Card","04/08/06 00:00:00",,0,,3
48,19,4,8,"04/05/06 00:00:00","04/05/06 00:00:00",2,"Elizabeth Andersen","123 8th Street","Portland","OR","99999","USA",50.0000,0.0000,"Check","04/05/06 00:00:00",,0,,3
50,20,9,25,"04/05/06 00:00:00","04/05/06 00:00:00",1,"John Rodman","789 25th Street","Chicago","IL","99999","USA",5.0000,0.0000,"Cash","04/05/06 00:00:00",,0,,3
51,21,9,26,"04/05/06 00:00:00","04/05/06 00:00:00",3,"Run Liu","789 26th Street","Miami","FL","99999","USA",60.0000,0.0000,"Credit Card","04/05/06 00:00:00",,0,,3
55,22,1,29,"04/05/06 00:00:00","04/05/06 00:00:00",2,"Soo Jung Lee","789 29th Street","Denver","CO","99999","USA",200.0000,0.0000,"Check","04/05/06 00:00:00",,0,,3
56,23,2,6,"04/03/06 00:00:00","04/03/06 00:00:00",3,"Francisco Pérez-Olaeta","123 6th Street","Milwaukee","WI","99999","USA",0.0000,0.0000,"Check","04/03/06 00:00:00",,0,,3
57,24,9,27,"04/22/06 00:00:00","04/22/06 00:00:00",2,"Karen Toh","789 27th Street","Las Vegas","NV","99999","USA",200.0000,0.0000,"Check","04/22/06 00:00:00",,0,,0
58,25,3,4,"04/22/06 00:00:00","04/22/06 00:00:00",1,"Christina Lee","123 4th Street","New York","NY","99999","USA",5.0000,0.0000,"Credit Card","04/22/06 00:00:00",,0,,3
59,26,4,12,"04/22/06 00:00:00","04/22/06 00:00:00",2,"John Edwards","123 12th Street","Las Vegas","NV","99999","USA",5.0000,0.0000,"Credit Card","04/22/06 00:00:00",,0,,0
60,27,6,8,"04/30/06 00:00:00","04/30/06 00:00:00",3,"Elizabeth Andersen","123 8th Street","Portland","OR","99999","USA",50.0000,0.0000,"Credit Card","04/30/06 00:00:00",,0,,3
61,28,9,4,"04/07/06 00:00:00","04/07/06 00:00:00",3,"Christina Lee","123 4th Street","New York","NY","99999","USA",4.0000,0.0000,"Check","04/07/06 00:00:00",,0,,0
62,29,3,29,"04/12/06 00:00:00","04/12/06 00:00:00",2,"Soo Jung Lee","789 29th Street","Denver","CO","99999","USA",7.0000,0.0000,"Check","04/12/06 00:00:00",,0,,0
63,30,4,3,"04/25/06 00:00:00","04/25/06 00:00:00",2,"Thomas Axen","123 3rd Street","Los Angelas","CA","99999","USA",7.0000,0.0000,"Cash","04/25/06 00:00:00",,0,,3
64,31,8,6,"05/09/06 00:00:00","05/09/06 00:00:00",2,"Francisco Pérez-Olaeta","123 6th Street","Milwaukee","WI","99999","USA",12.0000,0.0000,"Credit Card","05/09/06 00:00:00",,0,,0
65,32,9,28,"05/11/06 00:00:00","05/11/06 00:00:00",3,"Amritansh Raghav","789 28th Street","Memphis","TN","99999","USA",10.0000,0.0000,"Check","05/11/06 00:00:00",,0,,0
66,33,3,8,"05/24/06 00:00:00","05/24/06 00:00:00",3,"Elizabeth Andersen","123 8th Street","Portland","OR","99999","USA",5.0000,0.0000,"Check","05/24/06 00:00:00",,0,,0
67,34,4,10,"05/24/06 00:00:00","05/24/06 00:00:00",2,"Roland Wacker","123 10th Street","Chicago","IL","99999","USA",9.0000,0.0000,"Credit Card","05/24/06 00:00:00",,0,,3
68,35,1,7,"05/24/06 00:00:00",,,"Ming-Yang Xie","123 7th Street","Boise","ID","99999","USA",0.0000,0.0000,,,,0,,0
69,36,1,10,"05/24/06 00:00:00",,1,"Roland Wacker","123 10th Street","Chicago","IL","99999","USA",0.0000,0.0000,,,,0,,0
70,37,1,11,"05/24/06 00:00:00",,3,"Peter Krschne","123 11th Street","Miami","FL","99999","USA",0.0000,0.0000,,,,0,,0
71,38,1,1,"05/24/06 00:00:00",,3,"Anna Bedecs","123 1st Street","Seattle","WA","99999","USA",0.0000,0.0000,,,,0,,0
72,39,1,28,"06/07/06 00:00:00","06/07/06 00:00:00",3,"Amritansh Raghav","789 28th Street","Memphis","TN","99999","USA",40.0000,0.0000,"Credit Card","06/07/06 00:00:00",,0,,3
73,40,7,9,"06/05/06 00:00:00","06/05/06 00:00:00",1,"Sven Mortensen","123 9th Street","Salt Lake City","UT","99999","USA",100.0000,0.0000,"Check","06/05/06 00:00:00",,0,,3
74,41,6,6,"06/08/06 00:00:00","06/08/06 00:00:00",2,"Francisco Pérez-Olaeta","123 6th Street","Milwaukee","WI","99999","USA",300.0000,0.0000,"Credit Card","06/08/06 00:00:00",,0,,3
75,42,4,8,"06/05/06 00:00:00","06/05/06 00:00:00",2,"Elizabeth Andersen","123 8th Street","Portland","OR","99999","USA",50.0000,0.0000,"Check","06/05/06 00:00:00",,0,,3
76,43,9,25,"06/05/06 00:00:00","06/05/06 00:00:00",1,"John Rodman","789 25th Street","Chicago","IL","99999","USA",5.0000,0.0000,"Cash","06/05/06 00:00:00",,0,,3
77,44,9,26,"06/05/06 00:00:00","06/05/06 00:00:00",3,"Run Liu","789 26th Street","Miami","FL","99999","USA",60.0000,0.0000,"Credit Card","06/05/06 00:00:00",,0,,3
78,45,1,29,"06/05/06 00:00:00","06/05/06 00:00:00",2,"Soo Jung Lee","789 29th Street","Denver","CO","99999","USA",200.0000,0.0000,"Check","06/05/06 00:00:00",,0,,3
79,46,2,6,"06/23/06 00:00:00","06/23/06 00:00:00",3,"Francisco Pérez-Olaeta","123 6th Street","Milwaukee","WI","99999","USA",0.0000,0.0000,"Check","06/23/06 00:00:00",,0,,3
80,47,2,4,"04/25/06 17:03:55",,,"Christina Lee","123 4th Street","New York","NY","99999","USA",0.0000,0.0000,,,,0,,0
81,48,2,3,"04/25/06 17:26:53",,,"Thomas Axen","123 3rd Street","Los Angelas","CA","99999","USA",0.0000,0.0000,,,,0,,0
